0x0102, 0x01
0x0108, 0x06
0x0109, 0x09
0x010A, 0x3B
0x010B, 0x01
0x010D, 0x01
0x010E, 0x09
0x010F, 0x3B
0x0110, 0x00
0x0112, 0x06
0x0113, 0x09
0x0114, 0x3B
0x0115, 0x01
0x0117, 0x01
0x0118, 0x09
0x0119, 0x3B
0x011A, 0x00
0x011C, 0x06
0x011D, 0x09
0x011E, 0x3B
0x011F, 0x00
0x0121, 0x01
0x0122, 0x09
0x0123, 0x3B
0x0124, 0x00
0x0126, 0x01
0x0127, 0x09
0x0128, 0x3B
0x0129, 0x00
0x012B, 0x01
0x012C, 0x09
0x012D, 0x3B
0x012E, 0x00
0x0130, 0x06
0x0131, 0x09
0x0132, 0x3B
0x0133, 0x01
0x013A, 0x02
0x013B, 0x09
0x013C, 0x3B
0x013D, 0x00
0x013F, 0x00
0x0140, 0x08
0x0141, 0x40
0x0142, 0xFF
