0x0202, 0x00
0x0203, 0x00
0x0204, 0x00
0x0205, 0x00
0x0206, 0x00
0x0208, 0x00
0x0209, 0x00
0x020A, 0x00
0x020B, 0x00
0x020C, 0x00
0x020D, 0x00
0x020E, 0x00
0x020F, 0x00
0x0210, 0x00
0x0211, 0x00
0x0212, 0x00
0x0213, 0x00
0x0214, 0x00
0x0215, 0x00
0x0216, 0x00
0x0217, 0x00
0x0218, 0x00
0x0219, 0x00
0x021A, 0x00
0x021B, 0x00
0x021C, 0x14
0x021D, 0x00
0x021E, 0x00
0x021F, 0x00
0x0220, 0x00
0x0221, 0x00
0x0222, 0x01
0x0223, 0x00
0x0224, 0x00
0x0225, 0x00
0x0226, 0x14
0x0227, 0x00
0x0228, 0x00
0x0229, 0x00
0x022A, 0x00
0x022B, 0x00
0x022C, 0x01
0x022D, 0x00
0x022E, 0x00
0x022F, 0x00
0x0231, 0x01
0x0232, 0x01
0x0233, 0x01
0x0234, 0x01
0x0235, 0x00
0x0236, 0x00
0x0237, 0x00
0x0238, 0x00
0x0239, 0xDC
0x023A, 0x00
0x023B, 0x00
0x023C, 0x00
0x023D, 0x00
0x023E, 0xC0
0x024A, 0x00
0x024B, 0x00
0x024C, 0x00
0x024D, 0x00
0x024E, 0x00
0x024F, 0x00
0x0250, 0x00
0x0251, 0x00
0x0252, 0x00
0x0253, 0x00
0x0254, 0x00
0x0255, 0x00
0x0256, 0x00
0x0257, 0x00
0x0258, 0x00
0x0259, 0x00
0x025A, 0x00
0x025B, 0x00
0x025C, 0x00
0x025D, 0x00
0x025E, 0x00
0x025F, 0x00
0x0260, 0x00
0x0261, 0x00
0x0262, 0x00
0x0263, 0x00
0x0264, 0x00
0x0268, 0x0F
0x0269, 0x00
0x026A, 0x00
0x026B, 0x4D
0x026C, 0x50
0x026D, 0x57
0x026E, 0x33
0x026F, 0x5F
0x0270, 0x73
0x0271, 0x00
0x0272, 0x00
