0x0508, 0x13
0x0509, 0x27
0x050A, 0x07
0x050B, 0x06
0x050C, 0x3F
0x050D, 0x0F
0x050E, 0x13
0x050F, 0x29
0x0510, 0x07
0x0511, 0x06
0x0512, 0x3F
0x0513, 0x0F
0x0515, 0x00
0x0516, 0x00
0x0517, 0x00
0x0518, 0x00
0x0519, 0xC0
0x051A, 0x02
0x051B, 0x00
0x051C, 0x00
0x051D, 0x00
0x051E, 0x00
0x051F, 0x80
0x0521, 0x21
0x052A, 0x05
0x052B, 0x00
0x052C, 0x0F
0x052D, 0x03
0x052E, 0x19
0x052F, 0x19
0x0531, 0x00
0x0532, 0x42
0x0533, 0x03
0x0534, 0x00
0x0535, 0x00
0x0536, 0x08
0x0537, 0x00
0x0538, 0x00
0x0539, 0x00
